id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,pdrb_adhb,satuan,tahun
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,156319,MILIAR RUPIAH,2014
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,227590,MILIAR RUPIAH,2014
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,30680,MILIAR RUPIAH,2014
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,7276,MILIAR RUPIAH,2014
46,32,JAWA BARAT,3271,KOTA BOGOR,29147,MILIAR RUPIAH,2014
47,32,JAWA BARAT,3272,KOTA SUKABUMI,8141,MILIAR RUPIAH,2014
48,32,JAWA BARAT,3273,KOTA BANDUNG,172698,MILIAR RUPIAH,2014
49,32,JAWA BARAT,3274,KOTA CIREBON,15038,MILIAR RUPIAH,2014
50,32,JAWA BARAT,3275,KOTA BEKASI,64109,MILIAR RUPIAH,2014
51,32,JAWA BARAT,3276,KOTA DEPOK,43806,MILIAR RUPIAH,2014
52,32,JAWA BARAT,3277,KOTA CIMAHI,20569,MILIAR RUPIAH,2014
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,13624,MILIAR RUPIAH,2014
54,32,JAWA BARAT,3279,KOTA BANJAR,3011,MILIAR RUPIAH,2014
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,168081,MILIAR RUPIAH,2015
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,46939,MILIAR RUPIAH,2015
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,32350,MILIAR RUPIAH,2015
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,85620,MILIAR RUPIAH,2015
59,32,JAWA BARAT,3205,KABUPATEN GARUT,40665,MILIAR RUPIAH,2015
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,25666,MILIAR RUPIAH,2015
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,22588,MILIAR RUPIAH,2015
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,16987,MILIAR RUPIAH,2015
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,35735,MILIAR RUPIAH,2015
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,21293,MILIAR RUPIAH,2015
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,24832,MILIAR RUPIAH,2015
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,65378,MILIAR RUPIAH,2015
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,29308,MILIAR RUPIAH,2015
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,50117,MILIAR RUPIAH,2015
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,167116,MILIAR RUPIAH,2015
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,246003,MILIAR RUPIAH,2015
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,33992,MILIAR RUPIAH,2015
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,8016,MILIAR RUPIAH,2015
73,32,JAWA BARAT,3271,KOTA BOGOR,32365,MILIAR RUPIAH,2015
74,32,JAWA BARAT,3272,KOTA SUKABUMI,8971,MILIAR RUPIAH,2015
75,32,JAWA BARAT,3273,KOTA BANDUNG,195774,MILIAR RUPIAH,2015
76,32,JAWA BARAT,3274,KOTA CIREBON,16704,MILIAR RUPIAH,2015
77,32,JAWA BARAT,3275,KOTA BEKASI,70765,MILIAR RUPIAH,2015
78,32,JAWA BARAT,3276,KOTA DEPOK,48533,MILIAR RUPIAH,2015
79,32,JAWA BARAT,3277,KOTA CIMAHI,22647,MILIAR RUPIAH,2015
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,15237,MILIAR RUPIAH,2015
81,32,JAWA BARAT,3279,KOTA BANJAR,3330,MILIAR RUPIAH,2015
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,184601,MILIAR RUPIAH,2016
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,51133,MILIAR RUPIAH,2016
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,35383,MILIAR RUPIAH,2016
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,94567,MILIAR RUPIAH,2016
86,32,JAWA BARAT,3205,KABUPATEN GARUT,44452,MILIAR RUPIAH,2016
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,27996,MILIAR RUPIAH,2016
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,24524,MILIAR RUPIAH,2016
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,18563,MILIAR RUPIAH,2016
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,38847,MILIAR RUPIAH,2016
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,23207,MILIAR RUPIAH,2016
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,27008,MILIAR RUPIAH,2016
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,66442,MILIAR RUPIAH,2016
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,31490,MILIAR RUPIAH,2016
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,54576,MILIAR RUPIAH,2016
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,182503,MILIAR RUPIAH,2016
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,262311,MILIAR RUPIAH,2016
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,37044,MILIAR RUPIAH,2016
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,8684,MILIAR RUPIAH,2016
100,32,JAWA BARAT,3271,KOTA BOGOR,35401,MILIAR RUPIAH,2016
101,32,JAWA BARAT,3272,KOTA SUKABUMI,9719,MILIAR RUPIAH,2016
102,32,JAWA BARAT,3273,KOTA BANDUNG,216864,MILIAR RUPIAH,2016
103,32,JAWA BARAT,3274,KOTA CIREBON,18123,MILIAR RUPIAH,2016
104,32,JAWA BARAT,3275,KOTA BEKASI,76909,MILIAR RUPIAH,2016
105,32,JAWA BARAT,3276,KOTA DEPOK,53331,MILIAR RUPIAH,2016
106,32,JAWA BARAT,3277,KOTA CIMAHI,24563,MILIAR RUPIAH,2016
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,16751,MILIAR RUPIAH,2016
108,32,JAWA BARAT,3279,KOTA BANJAR,3609,MILIAR RUPIAH,2016
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,201387,MILIAR RUPIAH,2017
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,55283,MILIAR RUPIAH,2017
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,38550,MILIAR RUPIAH,2017
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,103363,MILIAR RUPIAH,2017
113,32,JAWA BARAT,3205,KABUPATEN GARUT,47993,MILIAR RUPIAH,2017
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,30522,MILIAR RUPIAH,2017
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,26544,MILIAR RUPIAH,2017
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,20447,MILIAR RUPIAH,2017
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,41948,MILIAR RUPIAH,2017
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,25419,MILIAR RUPIAH,2017
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,29639,MILIAR RUPIAH,2017
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,69824,MILIAR RUPIAH,2017
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,34167,MILIAR RUPIAH,2017
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,58522,MILIAR RUPIAH,2017
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,197057,MILIAR RUPIAH,2017
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,282469,MILIAR RUPIAH,2017
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,40222,MILIAR RUPIAH,2017
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,9401,MILIAR RUPIAH,2017
127,32,JAWA BARAT,3271,KOTA BOGOR,38506,MILIAR RUPIAH,2017
128,32,JAWA BARAT,3272,KOTA SUKABUMI,10556,MILIAR RUPIAH,2017
129,32,JAWA BARAT,3273,KOTA BANDUNG,240110,MILIAR RUPIAH,2017
130,32,JAWA BARAT,3274,KOTA CIREBON,19740,MILIAR RUPIAH,2017
131,32,JAWA BARAT,3275,KOTA BEKASI,83328,MILIAR RUPIAH,2017
132,32,JAWA BARAT,3276,KOTA DEPOK,58344,MILIAR RUPIAH,2017
133,32,JAWA BARAT,3277,KOTA CIMAHI,26534,MILIAR RUPIAH,2017
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,18318,MILIAR RUPIAH,2017
135,32,JAWA BARAT,3279,KOTA BANJAR,3909,MILIAR RUPIAH,2017
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,237200,MILIAR RUPIAH,2019
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,67426,MILIAR RUPIAH,2019
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,46956,MILIAR RUPIAH,2019
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,123486,MILIAR RUPIAH,2019
140,32,JAWA BARAT,3205,KABUPATEN GARUT,57875,MILIAR RUPIAH,2019
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,37310,MILIAR RUPIAH,2019
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,31536,MILIAR RUPIAH,2019
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,25093,MILIAR RUPIAH,2019
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,49136,MILIAR RUPIAH,2019
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,31202,MILIAR RUPIAH,2019
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,35440,MILIAR RUPIAH,2019
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,80390,MILIAR RUPIAH,2019
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,40281,MILIAR RUPIAH,2019
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,67742,MILIAR RUPIAH,2019
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,230021,MILIAR RUPIAH,2019
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,326284,MILIAR RUPIAH,2019
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,47180,MILIAR RUPIAH,2019
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,11312,MILIAR RUPIAH,2019
154,32,JAWA BARAT,3271,KOTA BOGOR,46223,MILIAR RUPIAH,2019
155,32,JAWA BARAT,3272,KOTA SUKABUMI,12384,MILIAR RUPIAH,2019
156,32,JAWA BARAT,3273,KOTA BANDUNG,288461,MILIAR RUPIAH,2019
157,32,JAWA BARAT,3274,KOTA CIREBON,23504,MILIAR RUPIAH,2019
158,32,JAWA BARAT,3275,KOTA BEKASI,98130,MILIAR RUPIAH,2019
159,32,JAWA BARAT,3276,KOTA DEPOK,70996,MILIAR RUPIAH,2019
160,32,JAWA BARAT,3277,KOTA CIMAHI,32640,MILIAR RUPIAH,2019
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,21751,MILIAR RUPIAH,2019
162,32,JAWA BARAT,3279,KOTA BANJAR,4378,MILIAR RUPIAH,2019
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,236147,MILIAR RUPIAH,2020
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,67392,MILIAR RUPIAH,2020
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,47523,MILIAR RUPIAH,2020
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,123049,MILIAR RUPIAH,2020
167,32,JAWA BARAT,3205,KABUPATEN GARUT,58043,MILIAR RUPIAH,2020
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,37446,MILIAR RUPIAH,2020
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,31974,MILIAR RUPIAH,2020
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,25618,MILIAR RUPIAH,2020
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,49561,MILIAR RUPIAH,2020
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,32055,MILIAR RUPIAH,2020
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,35491,MILIAR RUPIAH,2020
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,79286,MILIAR RUPIAH,2020
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,39595,MILIAR RUPIAH,2020
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,67176,MILIAR RUPIAH,2020
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,225064,MILIAR RUPIAH,2020
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,317943,MILIAR RUPIAH,2020
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,46479,MILIAR RUPIAH,2020
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,11498,MILIAR RUPIAH,2020
181,32,JAWA BARAT,3271,KOTA BOGOR,45940,MILIAR RUPIAH,2020
182,32,JAWA BARAT,3272,KOTA SUKABUMI,12402,MILIAR RUPIAH,2020
183,32,JAWA BARAT,3273,KOTA BANDUNG,283617,MILIAR RUPIAH,2020
184,32,JAWA BARAT,3274,KOTA CIREBON,23440,MILIAR RUPIAH,2020
185,32,JAWA BARAT,3275,KOTA BEKASI,96569,MILIAR RUPIAH,2020
186,32,JAWA BARAT,3276,KOTA DEPOK,70391,MILIAR RUPIAH,2020
187,32,JAWA BARAT,3277,KOTA CIMAHI,32211,MILIAR RUPIAH,2020
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,21589,MILIAR RUPIAH,2020
189,32,JAWA BARAT,3279,KOTA BANJAR,4461,MILIAR RUPIAH,2020
